ranking,name,score,review_count,quote,detail_url,introduce
62,饮食男女,9.2,555682人评价,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/,"导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
1994 / 中国台湾 美国 / 剧情 家庭"
63,美丽心灵,9.1,701922人评价,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/,"导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...
2001 / 美国 / 传记 剧情"
64,本杰明·巴顿奇事,9.0,901258人评价,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/,"导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...
2008 / 美国 / 剧情 爱情 奇幻"
65,窃听风暴,9.2,514509人评价,别样人生。,https://movie.douban.com/subject/1900841/,"导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...
2006 / 德国 / 剧情 悬疑"
66,情书,8.9,983316人评价,暗恋的极致。,https://movie.douban.com/subject/1292220/,"导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
1995 / 日本 / 剧情 爱情"
67,穿条纹睡衣的男孩,9.2,497871人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/,"导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...
2008 / 英国 美国 / 剧情 战争"
68,两杆大烟枪,9.1,548750人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/,"导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran
1998 / 英国 / 剧情 喜剧 犯罪"
69,西西里的美丽传说,8.9,892047人评价,美丽无罪。,https://movie.douban.com/subject/1292402/,"导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...
2000 / 意大利 美国 / 剧情 战争 情色"
70,看不见的客人,8.8,1137780人评价,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/,"导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...
2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚"
71,拯救大兵瑞恩,9.1,591551人评价,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
1998 / 美国 / 剧情 战争"
72,音乐之声,9.1,547336人评价,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/,"导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...
1965 / 美国 / 剧情 传记 爱情 歌舞"
73,飞越疯人院,9.1,509532人评价,自由万岁。,https://movie.douban.com/subject/1292224/,"导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...
1975 / 美国 / 剧情"
